# stage|unit|primary grammar|secondary grammar / discourse|correct illustration|diagnostic error|repair explanation
2|8|Basic comparative adjectives|Than; short forms and more + longer adjectives|This park is cleaner than that one.|This park is more cleaner than that one.|Do not combine more with the comparative -er form here.
2|9|Sequencing instructions with first/then/finally|Object pronouns it/them; clear reference|Open the file and save it.|Open the file and save them.|The singular file is referred to by it.
2|10|Would like + noun/to-infinitive|Polite requests with could and appropriate short replies|I would like to join the club.|I would like join the club.|Use to before the verb after would like.
3|1|Past simple regular verbs|Past time reference; -ed pronunciation as a separate aural target|We cooked dinner yesterday.|We cook dinner yesterday.|Use the past form cooked for the completed event yesterday.
3|2|Comparatives and superlatives in choices|As ... as; one of the + superlative + plural noun|This flat is less expensive than that one.|This flat is less expensive that that one.|A comparative comparison uses than, not that.
3|3|Past simple irregular verbs|Past negatives/questions with did + base verb|Did you go to the party?|Did you went to the party?|Did already marks past time, so use go.
3|4|To-infinitives for purpose|Because + clause; explaining a study choice|I use a dictionary to check meanings.|I use a dictionary for check meanings.|Use to + base verb for purpose, or for + an appropriate noun/-ing phrase.
3|5|Present perfect for experience|Have/has + past participle; no finished past-time marker|I have worked in a shop.|I have work in a shop.|The present perfect needs the past participle worked.
3|6|Future arrangements with present continuous|Will for a decision made while speaking; plans are not identical functions|We are leaving on Friday.|We leaving on Friday.|The arrangement uses be + -ing, so include are.
3|7|Quantifiers enough/too/much/many|Countability and adjective/adverb position|I do not get enough sleep.|I do not get sleep enough.|Before a noun, enough normally comes before the noun.
3|8|Relative clauses with who/which/that|Main clause versus identifying information|A habitat is a place where an animal lives.|A habitat is a place which an animal lives.|A location relation with lives needs where or an appropriate prepositional construction.
3|9|Fact versus opinion language|Think/believe; that-clauses; reporting a source without endorsement|The writer believes that the report is accurate.|The writer believes the report it is accurate.|Do not repeat the subject inside the clause with an extra it.
3|10|Past continuous with past simple|While/when; background and interrupting event|We were eating when the music started.|We was eating when the music started.|The subject we takes were in the past continuous.
4|1|Countability in food and abstract nouns|Few/a few; little/a little without equating their meanings|There is little information on the label.|There are little informations on the label.|Information is normally uncountable; use is and do not add plural -s.
4|2|Obligation: have to/must; prohibition versus lack of necessity|Must not versus do not have to|You do not have to cook tonight; dinner is ready.|You must not cook tonight; dinner is ready.|Not having to means no obligation. Must not expresses prohibition and changes the meaning.
4|3|Present perfect versus past simple|Since/for; finished versus unfinished reference periods|I have known her for five years.|I know her since five years.|Use present perfect for the continuing state, and for with a duration.
4|4|Gerund and infinitive patterns of common verbs|Enjoy/avoid + -ing; decide/plan + to-infinitive|She decided to revise the chapter.|She decided revising the chapter.|In this sense, decide takes a to-infinitive complement.
4|5|Polite indirect questions|Embedded statement order; could you tell me ...|Could you tell me when the delivery will arrive?|Could you tell me when will the delivery arrive?|Use statement word order inside this embedded question.
4|6|Present and past simple passive|Be + past participle; choosing an agent when informative|The route was changed last year.|The route was change last year.|A passive requires the past participle changed.
4|7|First conditional for a realistic possibility|If-clause present, main clause modal/future as appropriate|If the service improves, more people will use it.|If the service will improve, more people will use it.|Use the present simple in this ordinary future-condition if-clause.
4|8|Cause and result clauses|Because/because of; so; avoid sentence fragments|The road closed because of heavy rain.|The road closed because heavy rain.|Because of takes a noun phrase; because requires a finite clause.
4|9|Relative clauses and reference precision|Defining versus non-defining clauses; punctuation changes information structure|My phone, which is five years old, still works.|My phone, that is five years old, still works.|Use which rather than that in this non-defining clause.
4|10|Adjectives and adverbs; -ed/-ing contrasts|Describe a response versus its cause|The film was interesting, and I was interested.|The film was interested.|Use interesting for the thing causing interest, not interested.
5|1|Second conditional|Would + base form; hypothetical versus realistic conditions|If shops donated more food, less would be wasted.|If shops would donate more food, less would be wasted.|In the standard hypothetical pattern, the if-clause uses past simple rather than would.
5|2|Noun phrases for quantities and comparisons|A rise in versus rise by/to; precise numerical referents|The rent rose from 600 to 750 units.|The rent rose by 750 units, from 600 to 750.|The final value is 750; the increase is 150. By and to describe different quantities.
5|3|Present perfect continuous|Duration, continuing activity and limits with stative verbs|The population has been growing steadily.|The population has being growing steadily.|Use has been + -ing for the present perfect continuous.
5|4|Passive forms across common tenses|Process descriptions and impersonal reporting|The applications have been assessed.|The applications have assessed.|Use have been assessed when the applications receive the action.
5|5|Modals of possibility and degree of certainty|May/might/could; avoid unjustified certainty|Flexible hours may improve satisfaction.|Flexible hours must improve satisfaction in every workplace.|The universal certainty is not supported by a merely possible relationship.
5|6|Concession with although/even though/despite|Clause versus noun/-ing complement|Although tourism creates jobs, it can raise rents.|Despite tourism creates jobs, it can raise rents.|Despite takes a noun phrase or -ing construction; although takes a clause.
5|7|Condition, precaution and purpose|Unless; in case; so that are not interchangeable|Take the instructions in case you need them.|Take the instructions unless you need them.|In case expresses preparation for a possibility. Unless reverses the condition.
5|8|Process sequencing and passive voice|Before/after + clause or -ing form with a clear subject|After the panels are installed, they are connected.|After install the panels, they are connected.|Use a finite clause here or a correctly formed non-finite construction.
5|9|Relative clauses with prepositions|Referent tracking across sentences|This is the platform on which the data are stored.|This is the platform which the data are stored.|The storage location requires on which or where.
5|10|Paragraph cohesion through reference and repetition|This + summarising noun; avoid vague this at paragraph openings|This investment could increase participation.|This could increase it.|Name the investment and the outcome when the pronouns have competing possible referents.
6|1|Third conditional|Past counterfactuals; had + participle and would have + participle|If storage had improved, less food would have spoiled.|If storage would have improved, less food would have spoiled.|The standard counterfactual if-clause uses had improved.
6|2|Complex noun phrases and postmodification|Reduced relatives with clear attachment|Housing built near stations can reduce travel times.|Housing building near stations can reduce travel times.|Housing receives the building action; use built, not building.
6|3|Reported speech and reporting verbs|Say/tell; optional backshift governed by time and current truth|She told us that she had moved.|She said us that she had moved.|Tell can take the person directly; say normally needs to before the person.
6|4|Hedging research claims|Suggest/indicate versus prove; evidence strength|The results suggest that access improved.|The results prove that access improved everywhere.|A limited study does not establish a universal conclusion; match the verb to the evidence.
6|5|Future perfect and future continuous|Time reference in projections; mark forecasts explicitly|By 2030, the firm will have trained 200 workers.|By 2030, the firm will trained 200 workers.|Use will have + past participle for a completion projected before a future point.
6|6|Comparing proportions and changes|Percentage points versus percentage change|The share rose from 20% to 30%, an increase of 10 percentage points.|The share rose from 20% to 30%, an increase of 10%.|The absolute difference is 10 percentage points; the relative increase is 50%.
6|7|Relative and complement clauses in explanation|Distinguish what a service provides from the claim about it|The claim that access improved needs evidence.|The claim which access improved needs evidence.|That introduces the content of the claim here; it is not a relative pronoun replacing a missing clause role.
6|8|Conditionals and cautious projections|Mixed time reference only when the intended meaning needs it|If the habitat had been protected, it would be healthier now.|If the habitat was protected yesterday, it would have been healthier now.|Use a coherent past counterfactual cause and present consequence.
6|9|Nominalisation without hiding agency|Data were collected versus collection; maintain who did what|The team collected the data before analysing them.|The collection of the data analysed them.|A nominalisation cannot act as the human analyst; preserve the intended agent.
6|10|Argument structure: claim, support, qualification|Distinct source perspective and writer stance|The author argues that the object was used in trade.|The author argues the object was definitely used in trade by everyone.|Do not add certainty, universality or facts that the source does not support.
7|1|Modals and counterarguments in policy|Should/ought to; proportionate obligation and exceptions|Labels should be clear, although the policy may need exceptions.|Labels should must be clear.|Do not stack these modal verbs; select one appropriate expression of obligation.
7|2|Cohesive comparison across categories|Whereas/while versus temporal meanings; maintain parallel units|Rents rose in the centre, whereas they fell in the suburbs.|Rents rose in the centre, whereas population in the suburbs.|Compare complete compatible propositions, not a clause with an unrelated noun.
7|3|Agreement with complex subjects|Head noun versus intervening prepositional phrase|The proportion of older residents is increasing.|The proportion of older residents are increasing.|The head of the subject is the singular proportion, not residents.
7|4|Articles with abstract and institutional nouns|General versus specific reference in education discourse|Education can improve access to work.|The education can improve access to work.|For education in general, no article is needed; a specific educational system may take the.
7|5|Verb complementation in reporting and persuasion|Recommend/suggest + -ing or that-clause; advise someone to|The manager suggested revising the plan.|The manager suggested us to revise the plan.|Use suggested revising or suggested that we revise; advise permits a person + to-infinitive.
7|6|Concision with participle clauses|Avoid dangling modifiers and hidden actors|By improving the service, the council attracted more users.|By improving the service, more users were attracted.|Make the agent of improving explicit; the introductory clause should attach to that agent.
7|7|Causal versus associative grammar|Be associated with versus result in|The habit was associated with the outcome.|The habit therefore caused the outcome.|Association alone does not justify replacing the relationship with causation.
7|8|Scope of quantification and negation|Some/most/all; not all versus none|Not all measures reduced emissions.|No measures reduced emissions.|Not all permits some effective measures; no measures excludes them all.
7|9|Relative clauses with which referring to a whole proposition|Avoid unclear or distant antecedents|The system failed twice, which delayed the project.|The system failed twice, who delayed the project.|Use which to refer to the preceding situation, not who.
7|10|Concession and balanced evaluation|Admittedly/nevertheless without formulaic stacking|Although the programme is costly, it may broaden access.|Although the programme is costly, but it may broaden access.|Do not combine although and but as competing links in this sentence.
8|1|Precision in complex noun phrases|Resolve stacked modifiers before writing; use of-phrases where clearer|The resilience of the regional food supply improved.|The regional food supply resilience improvement improved.|Reduce nominal piling and make the central claim explicit.
8|2|Information structure and end focus|Known information before new; avoid unnecessary passive chains|Residents proposed the scheme; the council later approved it.|It was proposed and it was later approved by them.|Keep the actors identifiable rather than burying them in ambiguous passive clauses.
8|3|Pragmatic softening and disagreement|Concede a point without abandoning the main claim|That is a reasonable concern, but the evidence is incomplete.|You are completely wrong because I disagree.|Address the claim and its evidence rather than replacing reasoning with a personal dismissal.
8|4|Hedging and evidential status|May reflect versus demonstrates; estimate versus observation|The difference may reflect unequal starting conditions.|The difference reflects unequal starting conditions with certainty.|The explanation is a possibility unless the design establishes it.
8|5|Parallelism in complex comparison|Compare quantities with quantities and groups with groups|The income of group A was higher than that of group B.|The income of group A was higher than group B.|Use that of to compare incomes rather than income with a group.
8|6|Relative clauses, apposition and punctuation|Integrate contextual detail without losing main-clause control|The site, a former factory, now houses a museum.|The site, a former factory now houses a museum.|Close the appositive with a comma so the main clause remains clear.
8|7|Conditional interpretation of evidence|Only if versus if; sufficient versus necessary conditions|The result is reliable only if the measurements are consistent.|If the measurements are consistent, the result is necessarily reliable.|A necessary condition is not automatically sufficient; other sources of error may remain.
8|8|Cause chains and qualification|Distinguish immediate effect, mediator and possible consequence|The policy reduced costs, which may have increased demand.|The policy reduced costs, which certainly solved every problem.|Keep the inferred downstream effect qualified and within the evidence.
8|9|Nominalisation versus direct verbs in policy prose|Use density for precision, not decoration|The regulator required firms to disclose the data.|A requirement of disclosure implementation was actioned.|Prefer explicit agents and actions when the noun-heavy alternative obscures them.
8|10|Attribution and stance markers|According to; the author claims; separate reporting from endorsement|According to the report, participation increased.|Participation increased because the report says so.|A report is the source of a claim, not automatically its cause or proof.
9|1|Counterfactual reasoning and conditional limits|Were it not for; equivalent plain alternatives remain acceptable|Without the reserve, the shortage would have been worse.|Without the reserve, the shortage will have been worse yesterday.|Use a coherent past hypothetical consequence rather than a future-perfect form.
9|2|Distinguishing causation, selection and temporal sequence|After does not mean because; matched reference groups|Rents rose after the policy, but other changes may explain the rise.|Rents rose after the policy, proving that the policy caused it.|Temporal order alone does not isolate a causal effect.
9|3|Discourse concession with accurate scope|Granted/while/although; avoid conceding facts not established|Even if the reform is popular, its effects remain uncertain.|Because the reform is popular, its effects must be beneficial.|Popularity and beneficial outcomes are different claims.
9|4|Epistemic modality and confidence calibration|Might have versus must have; probability is not certainty|The discrepancy might have resulted from measurement error.|The discrepancy must have resulted from measurement error, although no cause was established.|The evidence does not warrant a necessity inference.
9|5|Precision in comparing groups and distributions|Average versus every individual; typical versus universal|Average pay rose, although some workers earned less.|Average pay rose, so every worker earned more.|An aggregate change does not entail the same change for every member.
9|6|Conditionals in scenario comparison|Explicit assumptions; no change of scenario mid-sentence|If demand remains stable, the smaller project may be sufficient.|Demand remains stable, so the smaller project is sufficient under every scenario.|The conclusion depends on the stated demand assumption.
9|7|Quantification of risk and magnitude|Percentage, percentage points, base population and timeframe|Risk fell from 4% to 3%, a reduction of one percentage point.|Risk fell from 4% to 3%, a reduction of one percent.|Distinguish the absolute difference from the relative reduction of 25%.
9|8|Concession with competing values|Acknowledge costs without presenting a false factual contradiction|The proposal protects habitat but may constrain local incomes.|The proposal protects habitat; therefore, it cannot have any cost.|A benefit in one dimension does not rule out a cost in another.
9|9|Scope of model claims and out-of-sample inference|On this dataset versus everywhere; under tested conditions|The model performed well on the evaluation set.|The model performed well on the evaluation set, so it will always be accurate.|Performance under one set of conditions does not guarantee universal reliability.
9|10|Multiple perspectives with clear attribution|Distinguish provenance, evidence, interpretation and own position|The curator interprets the object as ceremonial; the records are inconclusive.|The curator interprets the object as ceremonial, so the records confirm this.|Keep interpretation distinct from documentary confirmation.
10|1|Dense but controlled technical explanation|Define specialist nouns through accessible paraphrase|The method increased yield, meaning the amount harvested per area.|The method increased yield, meaning farmers became richer in every case.|A definition of yield is not a claim about universal income effects.
10|2|Hedging counterfactual estimates|Would have under assumptions; avoid treating an estimate as observed fact|The estimate suggests rents would have risen more without the scheme.|Rents definitely would have risen more, although the counterfactual is unobserved.|Label the counterfactual as an estimate conditional on the method.
10|3|Flexible concession, rebuttal and reformulation|Address the strongest relevant objection and preserve logical links|The objection is valid in small towns, but may not apply to larger cities.|The objection is valid, so it is invalid.|Specify the scope of agreement instead of producing an unqualified contradiction.
10|4|Precision in epistemic stance and evidentials|Well supported, plausible, unresolved: non-interchangeable claims|The explanation is plausible but not yet well supported.|The explanation is plausible and therefore established.|Plausibility does not by itself establish evidential support.
10|5|Aggregation and qualification in economic argument|Indicators versus constructs; avoid definitional circularity|Higher output may improve welfare, but output does not capture every aspect of welfare.|Higher output proves higher welfare because welfare is always output.|Do not equate a partial indicator with a multidimensional outcome.
10|6|Conditional clauses with probabilistic forecasts|Distinguish expected values from guaranteed outcomes|The forecast gives the expected demand, not a guaranteed total.|The expected demand must occur exactly.|An expectation summarises a forecast; it is not a promise about one realised outcome.
10|7|Contrastive emphasis without inflated certainty|Only/primarily/largely; place limiting adverbs accurately|The study primarily measured short-term outcomes.|The study measured only all long-term outcomes.|Use modifiers that accurately represent the measured scope.
10|8|Agency and responsibility in passive/active choices|Expose policy actors while maintaining an appropriate register|The government would fund the transition through taxation.|The transition would fund through taxation.|A passive construction needs be funded; an active construction needs a plausible funding agent.
10|9|Definitions, criteria and exceptions|Explicit criterion before evaluating a system|The system met the stated accuracy criterion but not the fairness criterion.|The system was accurate, so it met every criterion.|Success on one criterion does not entail success on another.
10|10|Idiomatic naturalness and register control|Rephrase without changing implication, politeness or stance|The evidence gives us reason for caution.|The evidence does us a reason for caution.|Use a natural verb-noun combination; complexity is not the aim.
11|1|Synthesis across evidence and constraints|Concession integrated into a single coherent position|Greater redundancy may reduce efficiency while improving resilience.|Greater redundancy reduces efficiency, so resilience cannot improve.|The two outcomes can move in different directions; retain the trade-off.
11|2|Prioritisation with explicit conditions|Bounded recommendation, exception and revision trigger|The council should proceed if the access conditions are met.|The council should proceed whether or not any essential condition is met.|A recommendation should retain its stated necessary safeguards.
11|3|Separating normative and empirical claims|Ought versus is; facts inform values but do not settle them alone|The measure may reduce costs, but whether it is fair requires a separate judgement.|The measure reduces costs, so fairness is scientifically proved.|Cost and fairness are different claims with different grounds.
11|4|Managing uncertainty without vague hedging everywhere|Specify which claim is uncertain and why|The effect is clear in this sample; its size elsewhere remains uncertain.|Everything may possibly perhaps be uncertain in some way.|Locate the uncertainty rather than obscuring the entire argument.
11|5|Parallel reasoning across evaluative dimensions|Efficiency, fairness and feasibility addressed distinctly|The plan is efficient but may be difficult to enforce fairly.|The plan is efficient; consequently, enforcement must be fair.|Efficiency does not establish procedural fairness.
11|6|Conditional commitment and revision|Unless new evidence emerges; specify the trigger|The plan should be revised if demand falls below the stated threshold.|The plan should be revised if anything changes at all.|State a relevant revision condition rather than an unbounded trigger.
11|7|Precise risk language for a general audience|Plain-English paraphrase with denominator and timeframe intact|Three in every hundred participants reported the outcome during the year.|Three participants reported the outcome, so the risk was three percent.|A percentage needs the denominator; three people alone is insufficient.
11|8|Concession without false equivalence|Weight arguments by relevance and evidential strength|Both groups raise concerns, but the evidence for the first is stronger.|Both groups disagree, so both claims must be equally true.|The existence of two positions does not establish equal support.
11|9|Construct versus observable measure|An indicator is evidence, not the complete skill itself|A fluent recording provides evidence of fluency, not proof of all four skills.|A fluent recording proves Band 9 in all four skills.|Keep the assessed construct and the evidence aligned.
11|10|Attribution, omission and inference boundaries|State what a source leaves unresolved without inventing its view|The archive documents the event but not the participants' motives.|The archive omits motives, proving that no motives existed.|Missing information is not evidence of absence unless the context justifies that inference.
12|1|Flexible grammatical choice under time pressure|Choose the simplest precise form; no mandatory complexity quota|The policy is promising, provided that its effects are monitored.|The policy is promising, provided that its effects is monitored.|Agreement must remain accurate even inside a subordinate clause.
12|2|Accurate comparison, concession and recommendation|Maintain referents across a complete timed response|Although supply increased, rents remained high in the centre.|Although supply increased. Rents remained high in the centre.|The although-clause is dependent and should be integrated with its main clause here.
12|3|Spontaneous reformulation without loss of coherence|Self-repair focused on meaning, not repeated restart|I would not call it unfair; rather, its effects are uneven.|It is not unfair, meaning it is always perfectly fair.|A qualified rejection of unfairness is not a claim of perfect fairness.
12|4|Precise inference from unfamiliar evidence|Preserve certainty, scope, agency and causal status when paraphrasing|The evidence supports the claim within the tested conditions.|The evidence supports the claim everywhere without exception.|Do not expand the scope beyond the conditions actually tested.
12|5|Economical synthesis in a complete argument|No invented statistics; specific reasoning over memorised language|The proposal has benefits, but its costs fall unevenly across groups.|The proposal has benefits, therefore all groups gain equally.|A total benefit can coexist with an uneven distribution of costs.
12|6|Time-controlled accuracy across complex clauses|Final edit for agreement, tense, article and reference errors|The options were assessed before the council made its decision.|The options was assessed before the council made its decision.|The plural subject options requires were.
12|7|Precise distinction between relative and absolute statements|Retain population, timeframe and comparison in spontaneous explanation|The rate halved, from two cases per hundred to one per hundred.|The rate halved, so there were no cases.|Halving a positive rate does not reduce it to zero.
12|8|Appropriate qualification in unfamiliar policy questions|Answer the actual question before adding nuance|The best option depends on the stated constraint, not on cost alone.|The cheapest option is always the best under every constraint.|Do not erase constraints or competing objectives when drawing a conclusion.
12|9|Evidence-led evaluation without stylistic inflation|Clear claims, precise support, appropriate vocabulary, controlled range|The model is useful for this purpose, but independent checks remain necessary.|The model is extraordinarily omnipotent for everything.|Avoid exaggerated claims and unnatural diction; match the evidence and register.
12|10|Independent transfer across all four skills|Accurate, appropriate, fluent communication with complete task coverage|My conclusion follows from the evidence, although one uncertainty remains.|My conclusion follows from the evidence, although.|Finish the concessive clause or remove it; final editing must preserve complete meaning.
